table_name,approx_rows,exact_rows
access_readiness_logs,0,0
access_templates,6,6
activity_logs,695,695
announcements,0,0
app_settings,0,0
attendance_logs,129,129
attendance_sessions,66,66
attribution_attendee_lists,0,0
attribution_media_buyers,49,49
attribution_sales_detail,257,257
attribution_sessions,20,26
audit_logs,1089,1089
business_units,1,2
code_of_conduct_automation_events,206,206
code_of_conduct_automation_rules,1,1
code_of_conduct_email_variants,2,2
code_of_conduct_events,5578,5578
code_of_conduct_guide_progress,72,72
code_of_conduct_requests,156,156
code_of_conduct_rules,2,2
code_of_conduct_suggestion_ignores,0,0
code_of_conduct_templates,0,1
company_role_catalog,10,10
company_settings,0,1
crm_batch_archives,5,5
crm_conversion_rules,0,0
crm_lead_conversions,1,1
daily_custom_metrics,0,0
daily_lead_report_ad_accounts,330,330
daily_lead_report_media_buyers,169,169
daily_lead_reports,95,95
daily_lead_source_mappings,174,174
daily_metric_templates,0,4
data_sources,0,0
follow_up_reminders,12,12
incentives,0,0
invoice_events,0,0
invoice_item_categories,0,11
invoice_items,0,0
invoice_line_items,0,0
invoice_settings,0,1
invoices,0,0
kpi_assignments,2,2
kpi_categories,15,15
kpi_definitions,14,14
kpi_entries,62,62
kpi_reward_earnings,0,0
kpi_reward_rules,3,3
kpi_submissions,0,0
kpi_template_items,14,14
kpi_templates,7,7
lead_entries,0,0
lead_hotness_scores,1,1
lead_notes,378,378
lead_qualifier_sessions,11,12
lead_session_attendance,0,0
lead_tag_assignments,18,26
leads,1817,1817
media_buyer_aliases,0,1
media_buyer_attribution,0,2
media_buyer_case_emails,0,0
media_buyer_case_events,0,0
media_buyer_cases,0,0
media_buyer_service_periods,0,0
member_access_verifications,0,0
notification_preferences,0,0
notification_rules,0,24
notifications,1697,1697
offer_items,0,0
offer_preset_items,0,0
offer_presets,0,0
offline_seminar_reports,0,1
operations_communication_templates,3,3
operations_conversion_reports,0,0
operations_handoff_rules,0,0
operations_intake_imports,0,0
operations_lead_checklist_state,7,7
operations_lead_custom_values,2,2
operations_leads,5,5
operations_offer_deliveries,0,0
operations_process_templates,2,2
operations_result_reward_payouts,0,0
operations_result_reward_rules,1,1
operations_result_submissions,0,0
operations_reward_progress,0,0
operations_reward_rules,0,1
operations_service_events,0,0
operations_template_checklist_items,7,7
operations_template_fields,5,5
paid_lead_offer_items,0,0
paid_pipeline_activity_logs,118,118
paid_pipeline_batches,0,0
paid_pipeline_finance_details,0,0
paid_pipeline_followups,13,21
paid_pipeline_leads,267,267
paid_pipeline_payments,115,115
paid_pipeline_settings,0,52
paid_pipeline_to_crm_links,0,0
payroll_run_entries,0,0
payroll_runs,0,0
pipelines,1,4
profiles,3,13
profit_statement_lines,0,0
profit_statements,0,0
program_products,0,1
quick_save_entries,9,87
recurring_expense_templates,0,0
resource_library_categories,16,16
resource_library_items,0,0
roas_ad_spends,0,0
roas_attribution_audit_logs,20,26
roas_attribution_logs,0,0
roas_calculation_drafts,131,131
roas_data_sources,0,0
roas_enrollments,0,0
roas_fetch_logs,0,0
roas_history,0,0
roas_leads,0,0
roas_master_sheet_mappings,0,0
roas_master_sheet_tabs,0,0
roas_master_sheets,0,0
roas_media_buyers,0,2
roas_sync_logs,0,0
roas_webinars,0,1
seminar_roas_report_days,0,6
seminar_roas_report_products,0,3
seminar_roas_reports,0,3
service_packages,2,2
stage_sync_rules,0,0
stages,16,48
students,5638,5638
system_refinement_items,211,211
tags,1,13
task_activity,56,56
task_assignee_visibility,1,1
task_submissions,4,4
tasks,20,20
tax_code_master,0,39
team_payroll_profiles,3,9
team_performance_reminders,10,10
team_salary_history,0,0
user_module_access,37,37
user_roles,3,5
webinar_batches,25,26
webinar_templates,0,2
webinars,4,9
