id,code,type,description,category,gst_rate_default,keywords,source,is_active,created_at,updated_at
d737dcef-f9dd-4cbf-911a-53cba4f08b10,999293,SAC,Commercial training and coaching services,Coaching/Training,18,"{coaching,training,course,class,program,education,tutor,workshop,seminar,skill}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
8d8ad483-6ff8-4ca9-8625-cdbdd8ad4b37,999294,SAC,Other education and training services n.e.c.,Coaching/Training,18,"{education,training,certification,learning}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
d6f526be-13f9-41d3-b7f8-de813bc24807,999291,SAC,Cultural education services,Coaching/Training,18,"{cultural,art,""music education""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
c78f9d5f-2572-45a4-8a8f-d35aeda3eef9,999292,SAC,Sports and recreation education services,Coaching/Training,18,"{sports,recreation,""fitness training""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
674a51cb-8301-41a7-a94d-be118f4af148,998361,SAC,Advertising services,Advertising/Marketing,18,"{advertising,ads,marketing,campaign,""digital advertising"",""meta ads"",""google ads""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
57a75188-27ee-4092-90e2-7e9fd21929f8,998362,SAC,"Purchase or sale of advertising space or time, on commission",Advertising/Marketing,18,"{""advertising space"",""media buying"",commission}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
f9653259-3225-42dd-ac33-2f868b9426f6,998363,SAC,Sale of advertising space in print media,Advertising/Marketing,18,"{""print advertising"",newspaper}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
03d125f0-fa12-46b0-aef5-794257623294,998364,SAC,Sale of TV and radio advertising time,Advertising/Marketing,18,"{""tv ads"",""radio ads"",broadcast}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
28c79cd5-509c-4c7d-a33f-2f82b9e524d2,998365,SAC,Sale of internet advertising space,Advertising/Marketing,18,"{""internet ads"",""online ads"",""digital ads"",""web advertising""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
c02009fe-8294-4386-b81d-a491c638a9b9,998366,SAC,Sale of other advertising space or time,Advertising/Marketing,18,"{""outdoor advertising"",billboard}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
01a7884a-4a5a-409e-9334-17f4febd4b05,998311,SAC,Management consulting services,Consulting,18,"{consulting,consultancy,""management consulting"",""business consulting"",advisory,strategy}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
d30c6d18-e313-4cb8-876a-e401d8123997,998312,SAC,Business consulting services including public relations,Consulting,18,"{""business consulting"",pr,""public relations""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
091ef1d1-84db-4a2b-9e86-963cbdf2bebd,998313,SAC,IT consulting and support services,Consulting,18,"{""it consulting"",""tech support"",""software consulting""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
ab31ec63-d48e-4aca-a15e-f059495bfc1d,998314,SAC,Information technology (IT) design and development services,IT/Tech,18,"{""it design"",""software development"",""web development"",""app development"",coding}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
12d897d7-f0c7-4903-b30c-55c27d194c46,998315,SAC,Hosting and IT infrastructure provisioning services,IT/Tech,18,"{hosting,cloud,server,infrastructure}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
433f9ac8-f177-464c-8d8c-be9613989d13,998316,SAC,IT infrastructure and network management services,IT/Tech,18,"{network,""infrastructure management""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
ff36f4b8-9891-40ce-a75d-45e4627e8b23,998319,SAC,Other information technology services,IT/Tech,18,"{""it services""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
d45ae72f-1170-4bdf-b110-a98cf8e8fe47,998596,SAC,"Events, exhibitions, conventions and trade shows organisation",Events,18,"{event,exhibition,convention,conference,""trade show"",meetup,summit,""event management""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
89e314b1-fbf9-4690-a2b5-e2f568542041,998597,SAC,Convention and trade shows assistance and organization services,Events,18,"{convention,""trade show organization""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
84b90b88-74ca-45cf-ba03-7dfaff15c84c,999631,SAC,Services of performing artists,Entertainment,18,"{artist,performer,musician,singer,actor,entertainment,performance}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
e014c4b1-2ced-4602-91af-20b7a5d2f758,999632,SAC,"Services of authors, composers, sculptors and other artists",Entertainment,18,"{author,composer,sculptor,artist}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
338246d7-0df4-46c3-8b35-d6d43f4f6ab8,998387,SAC,Photography and videography services,Photography/Media,18,"{photography,photo,videography,video,shoot,""wedding photography"",portrait,studio}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
736a17f6-02dd-499f-90ab-1b71daff8fba,998386,SAC,Photographic and videographic processing services,Photography/Media,18,"{""photo processing"",""video editing"",""post production"",retouching}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
0658b210-009a-4d40-9d75-1a612149a24e,998391,SAC,"Specialty design services including interior, industrial, fashion",Design,18,"{design,""interior design"",""industrial design"",""fashion design"",""specialty design""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
d3f00e68-b294-4808-878f-9b7d074e4308,998393,SAC,Graphic design services,Design,18,"{""graphic design"",logo,""branding design"",""visual design""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
ab45c9b0-aea1-4781-9c51-91d0e8876728,998394,SAC,Trademarks and franchises,Design,18,"{trademark,franchise}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
17905d69-88e6-4524-9604-cd824ef502d7,998399,SAC,"Other professional, technical and business services",Professional,18,"{professional,technical,""business services"",other}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
4363c9f5-3f07-4d80-94b7-665fb81df8b7,997211,SAC,Rental services involving own or leased residential property,Real Estate,18,"{rental,lease,""residential rental"",property}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
c4587211-74c8-4c0f-8f96-c941b329bc3d,997212,SAC,Rental services involving own or leased non-residential property,Real Estate,18,"{""commercial rental"",""office rental"",non-residential}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
051ae013-a073-40c8-a892-2742ae8a31ff,999595,SAC,Coaching centres,Coaching/Training,18,"{""coaching centre"",tuition,academy}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
2b68dab6-51c4-485c-8fb4-e912e8338a0c,999599,SAC,Other educational support services,Coaching/Training,18,"{""educational support"",membership,community}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
b5ed1e27-8e18-4fd2-8bf5-98b666344a9c,998439,SAC,Other on-line content not elsewhere classified,Digital Product,18,"{""digital product"",""online content"",ebook,downloadable,""digital download""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
123472b8-1136-4297-b203-98cd79508bc5,998431,SAC,On-line text based information,Digital Product,18,"{""online book"",ebook,periodical,newsletter}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
b65da755-c8eb-450e-b713-474d9e32666f,998433,SAC,On-line audio content,Digital Product,18,"{""audio content"",podcast,audiobook}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
17a3421e-1d77-4d5e-81c5-bd69cd91b989,998434,SAC,On-line video content,Digital Product,18,"{""online video"",streaming,""video content"",""course video""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
c6f9958b-ed35-44f6-a89f-b640d6c7e9ce,998435,SAC,On-line software,Digital Product,18,"{software,saas,""online software"",app}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
5c3a4830-a1b9-4890-a47b-cd4e50147b70,996331,SAC,"Services provided by restaurants, cafes and similar eating facilities",Food/Hospitality,5,"{restaurant,cafe,""food service""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
8427eff2-7e4f-4414-9d21-78a6f6e53f95,996511,SAC,Road transport services of passengers,Transport,5,"{transport,taxi,cab}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
4dbf9b7a-5c61-43cf-bef3-55f4a24a1106,996601,SAC,Rental services of road vehicles,Transport,18,"{""vehicle rental"",""car rental""}",seed,t,2026-05-29 01:53:13.017423+00,2026-05-29 01:53:13.017423+00
