table_name,exact_rows
access_readiness_logs,0
announcements,0
app_settings,0
attribution_attendee_lists,0
code_of_conduct_suggestion_ignores,0
crm_conversion_rules,0
daily_custom_metrics,0
data_sources,0
incentives,0
invoice_events,0
invoice_items,0
invoice_line_items,0
invoices,0
kpi_reward_earnings,0
kpi_submissions,0
lead_entries,0
lead_session_attendance,0
media_buyer_case_emails,0
media_buyer_case_events,0
media_buyer_cases,0
media_buyer_service_periods,0
member_access_verifications,0
notification_preferences,0
offer_items,0
offer_preset_items,0
offer_presets,0
operations_conversion_reports,0
operations_handoff_rules,0
operations_intake_imports,0
operations_offer_deliveries,0
operations_result_reward_payouts,0
operations_result_submissions,0
operations_reward_progress,0
operations_service_events,0
paid_lead_offer_items,0
paid_pipeline_batches,0
paid_pipeline_finance_details,0
paid_pipeline_to_crm_links,0
payroll_run_entries,0
payroll_runs,0
profit_statement_lines,0
profit_statements,0
recurring_expense_templates,0
resource_library_items,0
roas_ad_spends,0
roas_attribution_logs,0
roas_data_sources,0
roas_enrollments,0
roas_fetch_logs,0
roas_history,0
roas_leads,0
roas_master_sheet_mappings,0
roas_master_sheet_tabs,0
roas_master_sheets,0
roas_sync_logs,0
stage_sync_rules,0
team_salary_history,0
