id,token_amount_collected,balance_pending,revenue_to_be_realized,total_collected
148c9b39-2fff-4f5a-bb4c-39c1b11fb305,0,118000,118000,0
006a1d8d-6183-4f48-8921-e2c21eb3f6cb,0,118000,118000,0
885c616c-1e3b-4ac5-96c2-a3abc378486e,0,118000,118000,0
a6da15f6-def9-43b9-adfe-276074a86f0c,0,118000,118000,0
a14c43ec-15d7-4e3d-8fae-b2e358503494,5000,113000,113000,5000
44e61974-1a4c-4391-956a-7691b2c33416,0,118000,118000,0
9fed550f-4ba9-4362-aadd-82cc8295f8a4,0,118000,118000,0
2503e44f-0c73-410a-923e-20278d44e6d5,0,118000,118000,0
d348dafe-2fdc-4214-bc4d-d58eea84e7a6,0,118000,118000,0
4c486a68-942e-402a-bc1b-5d9f0f66266a,0,118000,118000,0
77d5a324-c7be-4633-b40b-413823e82cb4,0,118000,118000,0
6f486fca-8e68-4ce0-8e42-a7cbc941c74a,0,118000,118000,0
f069b06b-6566-4680-ba83-16af635f3452,0,118000,118000,0
0f442bfb-f950-4b6b-b786-0943cf6de6a3,0,118000,118000,0
fd7e384f-7806-4acb-837f-9f757fcd63c1,0,118000,118000,0
a615fcf7-02b0-492b-9385-0928c894d44d,0,118000,118000,0
e3c4c9e5-adb3-45a9-a246-842d6a583567,0,118000,118000,0
58b42e85-7ad5-4a9e-a793-1677f3f07b4f,0,118000,118000,0
04bd7712-acba-435c-a914-ab66d6ef3e71,9832,108168,108168,9832
cff53e33-df6b-4caa-af56-e1dba302fbfa,4999,113001,113001,4999
afd922f5-854a-488c-9bce-06eb90eac671,9832,108168,108168,9832
2402aece-7613-4091-8b43-f0eb175581f6,0,118000,118000,0
e07c96e3-15aa-423c-b342-53db14713330,0,118000,118000,0
6cd74642-bed0-4f8a-a6a7-8fd9802d7a12,0,118000,118000,0
0b36569f-66ff-4fc5-b1c9-6388ff5f6633,0,118000,118000,0
f59908e8-8697-420d-a707-b1339781da47,0,118000,118000,0
8fb28eb9-d4c1-40af-850e-a5d4109b58b3,0,118000,118000,0
44e4b02d-4416-42e9-84a1-bdde7149ee75,0,118000,118000,0
9aa2e3bb-ef29-42f7-bfe0-6d95ed6205ca,0,118000,118000,0
1abb1381-8fff-4c73-9656-0c72db82b7d4,0,118000,118000,0
8e216d1f-c462-49ac-80ee-84c3a0de9fe1,0,118000,118000,0
482e6051-a3aa-4892-afef-d704fbed9c49,0,118000,118000,0
1c1e8baf-b2b9-4104-9a42-0ea1d0fb8e43,0,118000,118000,0
cd09eb70-83ca-4151-972e-1e75f9a94a91,0,118000,118000,0
7508b5ba-ed43-4ece-9aa3-3b4378f1b172,0,118000,118000,0
30d0f2f5-8493-4d37-8734-1d1ec1dc861c,0,118000,118000,0
667fb117-c37a-4266-b048-a270e457aaf4,0,118000,118000,0
ba7dd784-0bfc-4870-8a17-c1eadbbd0079,20000,10000,10000,108000
f4774e1f-a202-4aca-a429-60e22c0f4a8c,0,118000,118000,0
8abbdf1d-dcb8-4b1d-a9cc-282c7d113b49,19663,0,0,118000
ffe67786-5d82-4d5e-acca-f055181b6b92,0,118000,118000,0
cd9e8e80-6aa4-400e-bd34-15afcfe26c80,4999,14668,14668,103332
9dad46bb-6510-438f-b20f-d5aa1279bcb8,0,118000,118000,0
369b840f-02d3-43f6-87ed-1041ae983f95,0,118000,118000,0
51dc427b-5080-44d8-be0b-054ec584ea62,9832,108168,108168,9832
0c1ee50e-81ce-460d-9e6e-0e1e643d94bf,9832,108168,108168,9832
400ef80d-de14-4daf-946b-93784f61a388,0,118000,118000,0
441f4b7f-623c-44f2-85de-3cac0457bc85,0,118000,118000,0
b1a11283-ea5e-42ff-898e-ef4e67344081,0,118000,118000,0
9635038b-f33c-4540-8743-7dee1da8395a,0,118000,118000,0
167aaf78-0822-4d6c-92b7-b42b31c284a1,0,118000,118000,0
dda2f541-f04b-4061-9f08-1675548ae122,0,118000,118000,0
09dcd1aa-41df-4593-b549-e72f058ed574,0,118000,118000,0
3e7c9521-6445-4749-b5f8-6d58a13fad5f,0,118000,118000,0
1ed2ae8c-4d00-4a8b-a23d-65692b36ca6d,0,118000,118000,0
a94ecb6f-c38a-4a20-afb2-df7aa8be770e,0,118000,118000,0
3cfc1549-7c57-4e9c-93fd-e6d5936e8da5,0,118000,118000,0
a8395734-da95-48d8-be54-796a5800d5b6,0,118000,118000,0
3f5128f8-efd8-4576-ab35-589bf2e80447,0,118000,118000,0
c88f7985-4cfe-4b20-a426-40439b715fe9,0,118000,118000,0
2606ed27-9cde-45a5-9e24-24b183a3ce24,0,118000,118000,0
72544cf4-6ea1-4b0d-b018-f8c1e19e11f6,0,118000,118000,0
3bf5ad43-baab-4268-8f06-a58c4933174d,0,118000,118000,0
8cb2b1b5-7285-4f46-8d44-12aa25805cfa,0,118000,118000,0
922ece59-2a08-48d7-a50a-8779470f35cc,0,118000,118000,0
a7a134ca-6c35-4c2e-8d07-f94802532611,0,118000,118000,0
33239c48-520a-4bfb-b7cb-9b3e28ba7339,0,118000,118000,0
fd3a605e-4069-4993-b2fc-286889719ed5,0,118000,118000,0
21803195-9fd5-4e4f-be3c-a46f1da80feb,0,118000,118000,0
6dcfd825-2c8f-497f-abaf-29056be18dd4,0,118000,118000,0
b786f82b-5673-44fd-a798-74731e6ce3e2,0,118000,118000,0
63856a58-8da4-4c5f-8cda-3b05f65b847a,0,118000,118000,0
ac414f86-9f6e-4bfe-9b81-5a697c987c45,0,118000,118000,0
bb40ff16-59c7-42cd-9966-501f10fadc83,0,118000,118000,0
4b5d48c2-aac9-44b6-a302-963e959c1787,0,118000,118000,0
6512ad94-8f45-40ea-8e3d-d3bc53d590cc,0,118000,118000,0
a8c42ff0-7fbf-418a-a255-df2f7436ba63,0,118000,118000,0
d8789078-9ebf-491d-851d-411968b18acf,0,118000,118000,0
34feb6b6-1b39-4a4e-996f-eaa3ee4f7925,0,118000,118000,0
e443bbad-6ea6-4d3f-89ea-81994e57e4a2,0,118000,118000,0
99f407a0-af12-4339-b8d2-559267d4080e,93000,0,0,118000
4aa171d3-2e9f-4db3-85c9-0636e1807aeb,10999,8668,8668,109332
10f69834-8401-41a1-b39c-514771a43334,999,18668,18668,99332
b4cbde17-2986-4575-b921-55d28a61ea02,0,118000,118000,0
29261ad2-e7cb-4a0d-88d0-90e3f94c9e0d,9832,108168,108168,9832
8cd0351d-9d25-49f1-83f9-c93e41259591,0,118000,118000,0
09462478-7756-4989-8992-6d33e8a86905,9832,13168,13168,104832
8ca81f75-3aad-4519-a731-01812d347c65,0,118000,118000,0
e86451b6-b1fb-42dd-aa06-fc51a1830158,0,118000,118000,0
72dcfab9-ad71-4456-b591-4d6d4c217273,1000,82000,82000,36000
eb03738d-f531-4cbe-9239-b31b3e27722d,4999,14668,14668,103332
6d13be05-2bdd-4ebc-842b-8f9e6e5c7bf9,4999,14668,14668,103332
085d9127-876a-4ba2-873e-36fee2988e90,0,118000,118000,0
033c87b6-83e3-4ddf-8800-3a1837028cea,0,118000,118000,0
0a2ab633-caf4-43db-a2aa-49a1849eb5db,4999,113001,113001,4999
f9ce6974-5a78-4aa6-bc10-e2758d66003d,4999,113001,113001,4999
dd51f42b-1754-4c90-a205-237fa9cefdb2,0,118000,118000,0
9ccdb713-d172-446f-805d-95b52d59d5b6,0,118000,118000,0
cbf6dc8a-b55a-4df5-89ee-9554b4d0c063,0,118000,118000,0
c54e2e0f-cecd-4137-982e-5915ed7d03a3,0,118000,118000,0
45840f12-efae-43cb-ab86-4df91aa277e7,0,118000,118000,0
36aa1bba-cfcc-4555-8350-56ff0958bf07,0,118000,118000,0
51460e28-7f26-423a-bb55-768fd369113b,0,118000,118000,0
27b77239-ebb0-4f6e-9186-76e53821cf91,0,118000,118000,0
b6c13646-f418-4499-86c4-326bc4f24582,0,118000,118000,0
9a10f9b9-2e3e-49d3-9757-1445c302ceca,0,118000,118000,0
1393eaef-b573-40ed-bf22-fbe1f7eaa68a,0,118000,118000,0
a9f2c43d-765b-4721-84fc-dfd19b0e698d,4999,113001,113001,4999
d96d099f-28ba-41db-888f-a3a8cf0b3923,0,118000,118000,0
5b6e2b68-36df-49ad-a637-ab85ffa80595,0,118000,118000,0
4ebb4636-812f-4fb4-91bb-8d40d7828781,0,118000,118000,0
34954418-a2cd-4a7d-9c04-cf1c1d5c3c53,0,118000,118000,0
c418f558-9271-4630-aee0-d299adc66a61,0,118000,118000,0
39086026-81b4-43af-b9e9-41b3fccd7244,0,118000,118000,0
5f2a412c-301a-4bc7-a91a-abfa69ed9c48,4999,76335,76335,41665
3af18ebf-6602-42f6-b5a8-de104eeadd1e,4999,27786,27786,90214
ed83bee3-c3d9-4cc5-96b2-a76c8450e9d3,0,118000,118000,0
44518da3-b4d0-4c1f-9f74-892ada51ffa4,0,118000,118000,0
e3572a81-5f12-4947-8c0a-3d1fe10b9995,0,118000,118000,0
3e002026-5659-4c7e-bfc1-4b7599177aeb,0,118000,118000,0
67d1d3c1-bf4d-4f84-8c47-e2ee8161e5ce,0,118000,118000,0
87317ea9-0320-4fc9-89ca-cbf890467def,0,118000,118000,0
fe7d4c45-6dac-4569-9336-4d688da5f04e,0,118000,118000,0
ec5ff310-e64e-4a5a-a0e8-b434a2cb98a4,0,118000,118000,0
b2189f79-da3a-4e65-aa0d-968dcd44788d,0,118000,118000,0
f547f99a-4edb-4250-a06f-1f563d99aea7,0,118000,118000,0
970249cd-223d-49dd-b966-bb4fd37695b9,4999,14668,14668,103332
9053a56d-c5f1-4e47-852f-77d4fac691f5,0,118000,118000,0
c750d4c5-bef5-432a-ba9a-127d9887de41,4999,14668,14668,103332
2d97f65a-a131-44d8-a706-8d19f3a55ac6,4999,113001,113001,4999
2faf35a5-613e-4c47-8798-9573066c9387,9832,9835,9835,108165
0030f63a-b7b1-4e52-8eba-087fc6da57b0,4999,48001,48001,69999
9207c988-bfd8-41a2-a76b-254400ab5a30,4999,113001,113001,4999
83c5e1a3-1dc1-451f-a060-cb7ba142ab61,0,118000,118000,0
a24aeda2-a235-4051-ab32-96c88a834593,0,118000,118000,0
29fa8b5c-6395-4e4e-a58b-ce9fbe05be31,4999,113001,113001,4999
f0d07ab0-90dd-486f-a86f-7c8363617303,0,118000,118000,0
515c2b56-e55f-4355-b4d9-222b78d8551b,0,118000,118000,0
e282f157-7bf9-43e0-9ca4-8c7ebb245204,0,118000,118000,0
5a96a455-26b5-46c7-8493-9e1c8463f586,9832,9835,9835,108165
57f8cc56-ab8b-40fa-b355-dc17eda595ce,1999,17668,17668,100332
3168ab09-a4a3-4b4b-bc5e-5523486db9cf,4999,14668,14668,103332
355c0350-2252-40b3-883a-7bf0d626a1fd,0,118000,118000,0
153fa849-669d-45c9-bf60-fc6258e4a2f9,0,118000,118000,0
