bucket_id,name,owner,created_at,metadata
code-of-conduct,templates/1779730483341-Code_of_Conduct__Diamond_2.0_Membership_.pdf,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-25 17:34:44.505361+00,"{""eTag"": ""\""dc683cc7829031718cf49852d0d8bc44\"""", ""size"": 451569, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-25T17:34:45.000Z"", ""contentLength"": 451569, ""httpStatusCode"": 200}"
invoice-assets,default/logo/1779987438877-512px.png,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-28 16:57:19.138122+00,"{""eTag"": ""\""a9d068d71998f3edae3f781af825c43d\"""", ""size"": 46102, ""mimetype"": ""image/png"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-28T16:57:20.000Z"", ""contentLength"": 46102, ""httpStatusCode"": 200}"
invoice-assets,default/signature/1779988541702-high-mb-signature-png.png,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-28 17:15:42.262992+00,"{""eTag"": ""\""4034e7c850f90d7a5c2c43faa864d11f\"""", ""size"": 15306, ""mimetype"": ""image/png"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-28T17:15:43.000Z"", ""contentLength"": 15306, ""httpStatusCode"": 200}"
invoice-assets,default/stamp/1779988548743-stamp.png,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-28 17:15:48.992847+00,"{""eTag"": ""\""0fb2a8113f7981d3c3133501874e42b2\"""", ""size"": 247854, ""mimetype"": ""image/png"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-28T17:15:49.000Z"", ""contentLength"": 247854, ""httpStatusCode"": 200}"
signed-code-of-conduct,0066168e-1fd0-4381-b8a5-51d88e7da196/signed-code-of-conduct.pdf,,2026-06-29 13:21:26.22338+00,"{""eTag"": ""\""ee5079b494839f6b4c91362da41444ed\"""", ""size"": 439076, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-29T13:21:27.000Z"", ""contentLength"": 439076, ""httpStatusCode"": 200}"
signed-code-of-conduct,0066168e-1fd0-4381-b8a5-51d88e7da196/signed-receipt.html,,2026-06-29 13:21:26.405769+00,"{""eTag"": ""\""e2bf5d54fd51bbd8906afb631696ce55\"""", ""size"": 25217, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-29T13:21:27.000Z"", ""contentLength"": 25217, ""httpStatusCode"": 200}"
signed-code-of-conduct,032eaf18-591a-46b8-b824-980080958ee9/signed-code-of-conduct.pdf,,2026-08-06 14:01:46.321838+00,"{""eTag"": ""\""66ba11da3c8adce5b2dc9e5071546add\"""", ""size"": 440691, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-08-06T14:01:47.000Z"", ""contentLength"": 440691, ""httpStatusCode"": 200}"
signed-code-of-conduct,032eaf18-591a-46b8-b824-980080958ee9/signed-receipt.html,,2026-08-06 14:01:46.800571+00,"{""eTag"": ""\""7107ae03f8336df92daeb8f6cdae93fb\"""", ""size"": 15535, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-08-06T14:01:47.000Z"", ""contentLength"": 15535, ""httpStatusCode"": 200}"
signed-code-of-conduct,053bb80e-c1c9-44de-b855-7f96801d33dc/signed-code-of-conduct.pdf,,2026-07-30 13:43:08.391151+00,"{""eTag"": ""\""4b6c7d6c442711a17fee0fa9db7a7f52\"""", ""size"": 437823, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-30T13:43:09.000Z"", ""contentLength"": 437823, ""httpStatusCode"": 200}"
signed-code-of-conduct,053bb80e-c1c9-44de-b855-7f96801d33dc/signed-receipt.html,,2026-07-30 13:43:08.669762+00,"{""eTag"": ""\""00c2fde39b2ae1bce4dba4e33675a5b7\"""", ""size"": 13053, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-30T13:43:09.000Z"", ""contentLength"": 13053, ""httpStatusCode"": 200}"
